"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "YAML", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\sign-out-alt.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\user_filled.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 16, 24
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\user_outlined.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\SVG\Asset 2.svg", "XML", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 105
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\background.svg", "XML", 0, 0, 373, 0, 0, 0, 0, 0, 0, 0, 3, 376
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\doctor.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\onboarding_1.svg", "XML", 0, 0, 473, 0, 0, 0, 0, 0, 0, 0, 2, 475
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\onboarding_2.svg", "XML", 0, 0, 1135, 0, 0, 0, 0, 0, 0, 0, 2, 1137
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\onboarding_3.svg", "XML", 0, 0, 583, 0, 0, 0, 0, 0, 0, 0, 2, 585
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\patient.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\waiting.svg", "XML", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 105
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\Local Disk F\Source Codes\Flutter\docare\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\Local Disk F\Source Codes\Flutter\docare\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\Local Disk F\Source Codes\Flutter\docare\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"g:\Local Disk F\Source Codes\Flutter\docare\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"g:\Local Disk F\Source Codes\Flutter\docare\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
