"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "YAML", "HTML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\SVG\Asset 2.svg", "XML", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\background.svg", "XML", 0, 0, 373, 0, 0, 0, 0, 0, 0, 0, 0, 3, 376
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\doctor.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\onboarding_1.svg", "XML", 0, 0, 473, 0, 0, 0, 0, 0, 0, 0, 0, 2, 475
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\onboarding_2.svg", "XML", 0, 0, 1135, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1137
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\onboarding_3.svg", "XML", 0, 0, 583, 0, 0, 0, 0, 0, 0, 0, 0, 2, 585
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\patient.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\vectors\waiting.svg", "XML", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"g:\Local Disk F\Source Codes\Flutter\docare\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\assets_path.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 6, 23
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 16, 53
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\components_barrel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 2, 11
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\pick_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\primary_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 2, 46
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\secondary_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 2, 17
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\snack_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\text.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"g:\Local Disk F\Source Codes\Flutter\docare\lib\components\textfield.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 5, 4, 54
